                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0552,                 5.9691,                 4.2207,                0.00027,                0.09736,                0.00015,                  6e-05,                 4.1271,                  4.863,                 4.1617,             0.00046499,             0.00046499,             0.00046499
                      2,                 3.5857,                   5.45,                 3.9425,                 0.0003,                0.12615,                0.00022,                  8e-05,                  4.213,                 5.1518,                 4.2313,             0.00093511,             0.00093511,             0.00093511
                      3,                 3.4453,                 4.9104,                  3.598,                0.00033,                0.13087,                0.00028,                  9e-05,                 3.6728,                 4.8381,                 3.6875,              0.0013989,              0.0013989,              0.0013989
                      4,                 3.1945,                 4.7832,                 3.3607,                0.00127,                 0.1813,                0.00087,                0.00018,                 2.9932,                 5.2071,                 3.2971,              0.0014007,              0.0014007,              0.0014007
                      5,                 3.0556,                 4.3891,                 3.1763,                0.67197,                0.01887,                 0.0022,                0.00066,                   2.96,                 5.9672,                 3.2138,              0.0013913,              0.0013913,              0.0013913
                      6,                 3.0018,                 4.1967,                 3.0521,                0.68006,                0.00943,                 0.0018,                0.00045,                 2.9973,                 4.1873,                 3.1904,              0.0013818,              0.0013818,              0.0013818
                      7,                 2.9245,                 4.0951,                 2.9805,                0.69752,                0.03145,                0.00912,                0.00277,                 3.3149,                 12.691,                 3.6827,              0.0013724,              0.0013724,              0.0013724
                      8,                 2.9239,                 3.8762,                 2.8837,                0.69475,                0.03774,                0.00701,                0.00219,                 2.6654,                 4.7071,                 2.7874,               0.001363,               0.001363,               0.001363
                      9,                 2.8091,                 3.8389,                 2.8314,                0.70329,                0.01398,                0.00845,                0.00281,                 2.6006,                 3.4512,                  2.747,              0.0013535,              0.0013535,              0.0013535
                     10,                 2.7818,                  3.587,                 2.7542,                0.38264,                0.03439,                0.01521,                0.00488,                  2.733,                 3.9958,                 2.8676,              0.0013441,              0.0013441,              0.0013441
                     11,                 2.7734,                 3.5165,                 2.7198,                 0.3874,                0.01887,                0.01311,                0.00405,                 2.5802,                 3.5358,                 2.9631,              0.0013347,              0.0013347,              0.0013347
                     12,                 2.6586,                 3.4533,                   2.66,                 0.7283,                0.02673,                0.01935,                0.00768,                 2.5396,                 3.3048,                 2.7385,              0.0013253,              0.0013253,              0.0013253
                     13,                 2.6955,                 3.3403,                 2.6501,                 0.3993,                0.05189,                0.02751,                 0.0096,                 2.5081,                 3.0261,                 2.6416,              0.0013158,              0.0013158,              0.0013158
                     14,                 2.6469,                 3.3266,                 2.6218,                0.40478,                0.03302,                0.02261,                 0.0074,                 2.6355,                 3.3046,                 2.7241,              0.0013064,              0.0013064,              0.0013064
                     15,                 2.6491,                 3.3234,                 2.6206,                0.39951,                0.04717,                0.02786,                0.01097,                 2.4022,                 3.0607,                 2.5574,               0.001297,               0.001297,               0.001297
                     16,                 2.5472,                 3.1795,                 2.5769,                0.45403,                0.05975,                0.05663,                 0.0235,                 2.3383,                 2.9119,                 2.5349,              0.0012875,              0.0012875,              0.0012875
                     17,                  2.592,                 3.1419,                 2.5839,                0.44055,                0.07862,                0.05769,                0.02335,                  2.373,                 2.7882,                 2.5532,              0.0012781,              0.0012781,              0.0012781
                     18,                 2.5285,                 3.1196,                 2.5353,                0.74501,                 0.0628,                0.04456,                0.01805,                 2.3922,                 3.2172,                 2.5572,              0.0012687,              0.0012687,              0.0012687
                     19,                 2.5157,                 3.0571,                 2.4831,                0.43315,                0.07075,                 0.0562,                0.02674,                 2.3485,                 2.9293,                 2.5464,              0.0012592,              0.0012592,              0.0012592
                     20,                 2.4664,                 3.0306,                  2.463,                0.00323,                0.11321,                0.03891,                0.01381,                 2.8992,                 3.7782,                 3.0549,              0.0012498,              0.0012498,              0.0012498
                     21,                 2.4211,                 3.0421,                 2.4558,                 0.4248,                0.06918,                0.04653,                0.01967,                 2.4298,                 3.2857,                 2.5589,              0.0012404,              0.0012404,              0.0012404
                     22,                 2.3608,                 2.9048,                 2.3827,                0.43535,                 0.0456,                0.04837,                0.02054,                 2.3906,                 3.2344,                 2.6056,              0.0012309,              0.0012309,              0.0012309
                     23,                 2.4028,                 2.8976,                 2.3913,                0.55019,                0.08962,                0.13594,                 0.0464,                 2.3437,                 2.5824,                 2.5328,              0.0012215,              0.0012215,              0.0012215
                     24,                  2.292,                 2.7816,                 2.3198,                0.48764,                0.10063,                0.12964,                0.05356,                  2.189,                 2.6977,                 2.3849,              0.0012121,              0.0012121,              0.0012121
                     25,                 2.3239,                 2.7416,                 2.3638,                0.48701,                0.09591,                0.09937,                0.04357,                 2.1756,                 2.6044,                 2.4036,              0.0012026,              0.0012026,              0.0012026
                     26,                 2.3531,                 2.7775,                 2.3849,                0.82011,                0.10849,                0.13946,                0.05697,                 2.1168,                 2.5174,                 2.3445,              0.0011932,              0.0011932,              0.0011932
                     27,                 2.3183,                 2.6548,                 2.3242,                0.88285,                0.10063,                0.16389,                 0.0656,                 2.1484,                 2.4289,                 2.3525,              0.0011838,              0.0011838,              0.0011838
                     28,                 2.2433,                 2.5776,                 2.2714,                0.48343,                0.09591,                0.12844,                0.05023,                  2.161,                 2.7281,                 2.3923,              0.0011744,              0.0011744,              0.0011744
                     29,                 2.2317,                 2.5958,                 2.2733,                0.81647,                0.11635,                0.11959,                0.04693,                 2.1339,                 2.5399,                 2.3755,              0.0011649,              0.0011649,              0.0011649
                     30,                 2.2461,                 2.6451,                 2.3402,                0.49013,                0.07122,                0.07045,                0.03379,                 2.5752,                 3.6653,                  2.715,              0.0011555,              0.0011555,              0.0011555
                     31,                  2.305,                 2.6107,                 2.2793,                0.51396,                0.11478,                0.14544,                 0.0551,                 2.1365,                 2.5653,                 2.3212,              0.0011461,              0.0011461,              0.0011461
                     32,                 2.2223,                 2.4679,                 2.2589,                0.87575,                0.12421,                 0.1742,                0.08136,                 2.0575,                 2.3105,                 2.2664,              0.0011366,              0.0011366,              0.0011366
                     33,                 2.2245,                 2.4919,                  2.266,                0.87619,                0.13208,                0.15203,                0.07332,                 2.0877,                 2.3341,                  2.279,              0.0011272,              0.0011272,              0.0011272
                     34,                 2.1672,                 2.5447,                 2.2272,                0.87483,                0.11505,                0.13273,                0.07061,                 2.0662,                 2.5397,                 2.3052,              0.0011178,              0.0011178,              0.0011178
                     35,                 2.1944,                 2.4741,                  2.209,                0.87297,                0.13522,                0.17829,                0.08401,                 2.0208,                 2.2495,                 2.2419,              0.0011083,              0.0011083,              0.0011083
                     36,                 2.1078,                 2.3743,                 2.1824,                0.88476,                0.16352,                0.20784,                0.09817,                 1.9751,                 2.1659,                 2.2136,              0.0010989,              0.0010989,              0.0010989
                     37,                 2.1124,                 2.3655,                 2.1722,                0.87063,                0.15252,                0.19914,                0.09409,                 1.9685,                  2.135,                  2.207,              0.0010895,              0.0010895,              0.0010895
                     38,                 2.1526,                 2.3353,                 2.1971,                0.78614,                0.18868,                0.22887,                0.10034,                 2.0802,                 2.2492,                 2.2909,                0.00108,                0.00108,                0.00108
                     39,                 2.0685,                  2.303,                 2.1296,                0.90475,                0.15566,                0.19613,                0.09366,                 1.9368,                 2.0507,                 2.1981,              0.0010706,              0.0010706,              0.0010706
                     40,                 2.0876,                 2.2305,                 2.1152,                0.77762,                0.18393,                 0.3199,                0.13899,                 1.8715,                 2.0605,                 2.1114,              0.0010612,              0.0010612,              0.0010612
                     41,                 2.0389,                 2.2029,                 2.1095,                0.80748,                0.22499,                0.23791,                0.11078,                  1.937,                 2.0864,                  2.187,              0.0010517,              0.0010517,              0.0010517
                     42,                 2.0746,                 2.2498,                 2.1384,                0.63919,                0.20205,                0.23734,                0.10997,                 2.0097,                  2.113,                 2.2351,              0.0010423,              0.0010423,              0.0010423
                     43,                   2.05,                 2.2079,                 2.1439,                0.64929,                0.20803,                 0.2403,                0.10957,                 1.9011,                  2.188,                 2.1799,              0.0010329,              0.0010329,              0.0010329
                     44,                 2.0228,                 2.1871,                 2.0931,                0.90236,                 0.1761,                0.21898,                0.11435,                 1.8983,                 1.9271,                 2.1449,              0.0010234,              0.0010234,              0.0010234
                     45,                 2.0363,                 2.1545,                  2.101,                0.69038,                 0.2321,                0.22945,                0.11673,                 1.8704,                 1.9569,                 2.1351,               0.001014,               0.001014,               0.001014
                     46,                 1.9818,                 2.1281,                 2.0694,                0.90505,                0.15881,                0.20421,                0.10761,                 1.8655,                 2.0696,                 2.1267,              0.0010046,              0.0010046,              0.0010046
                     47,                 2.0185,                 2.1359,                 2.0892,                0.67933,                0.22978,                 0.2386,                0.11755,                 1.8719,                 1.8734,                 2.1294,             0.00099516,             0.00099516,             0.00099516
                     48,                 1.9915,                 2.0998,                 2.0813,                0.69124,                0.27661,                0.28319,                0.12848,                 1.8561,                  1.914,                 2.1327,             0.00098572,             0.00098572,             0.00098572
                     49,                 1.9486,                 2.0937,                 2.0707,                0.74479,                0.24468,                 0.2964,                0.14391,                 1.8367,                 1.9224,                 2.1051,             0.00097629,             0.00097629,             0.00097629
                     50,                 1.9417,                 2.0575,                 2.0333,                0.84843,                0.23682,                0.29913,                0.14224,                 1.7938,                 1.8681,                 2.0659,             0.00096686,             0.00096686,             0.00096686
                     51,                 1.9911,                 2.1416,                 2.0837,                 0.7386,                0.23877,                0.27262,                0.13473,                 1.8059,                 1.8021,                 2.0914,             0.00095743,             0.00095743,             0.00095743
                     52,                 1.9292,                 2.0323,                 2.0486,                0.75647,                0.23432,                0.26864,                0.13272,                 1.8504,                 1.9796,                 2.1037,               0.000948,               0.000948,               0.000948
                     53,                 1.9332,                 1.9924,                 2.0696,                0.63404,                0.20694,                0.22567,                0.11554,                 1.9195,                 2.1382,                 2.1935,             0.00093857,             0.00093857,             0.00093857
                     54,                  1.941,                  2.002,                 2.0385,                0.85568,                0.21432,                0.27878,                0.12235,                 1.9274,                  1.958,                 2.2141,             0.00092914,             0.00092914,             0.00092914
                     55,                 1.9166,                 1.9192,                 1.9907,                 0.7247,                0.24499,                0.27805,                0.14028,                 1.7669,                 1.8549,                 2.0471,              0.0009197,              0.0009197,              0.0009197
                     56,                 1.8039,                 1.8543,                 1.9396,                0.82682,                0.27178,                0.31939,                0.17007,                 1.7636,                 1.7226,                 2.0168,             0.00091027,             0.00091027,             0.00091027
                     57,                 1.8261,                 1.7963,                 1.9114,                0.70465,                0.26403,                0.29578,                0.15577,                 1.7448,                 1.7819,                  2.036,             0.00090084,             0.00090084,             0.00090084
                     58,                 1.8645,                 1.9167,                 1.9827,                0.73026,                0.29705,                0.31462,                0.13415,                 1.8594,                 1.8334,                 2.1383,             0.00089141,             0.00089141,             0.00089141
                     59,                 1.9259,                 1.9375,                 2.0375,                0.71696,                0.28447,                0.32997,                0.15874,                 1.7456,                 1.8464,                 2.0234,             0.00088198,             0.00088198,             0.00088198
                     60,                 1.8666,                  1.851,                 1.9646,                0.64959,                0.22061,                  0.423,                0.15015,                 1.7994,                 1.8312,                  2.073,             0.00087255,             0.00087255,             0.00087255
                     61,                  1.884,                 1.9164,                 2.0135,                 0.6568,                0.33369,                0.33259,                0.16232,                   1.75,                 1.7804,                 2.0366,             0.00086312,             0.00086312,             0.00086312
                     62,                 1.8432,                 1.8737,                 1.9809,                0.57649,                0.28084,                0.30635,                0.16729,                 1.7638,                 1.7091,                 2.0593,             0.00085368,             0.00085368,             0.00085368
                     63,                 1.8541,                 1.8583,                 1.9776,                0.92286,                0.21526,                0.33984,                0.17006,                 1.7405,                 1.7388,                 2.0275,             0.00084425,             0.00084425,             0.00084425
                     64,                 1.7838,                  1.829,                 1.9268,                0.75913,                0.22375,                0.31859,                0.16985,                 1.7149,                 1.6546,                 1.9961,             0.00083482,             0.00083482,             0.00083482
                     65,                 1.8339,                 1.8002,                 1.9333,                0.64639,                0.32269,                0.31839,                0.17004,                 1.7023,                 1.6914,                 1.9881,             0.00082539,             0.00082539,             0.00082539
                     66,                 1.8045,                 1.7513,                 1.9305,                0.72306,                0.27661,                0.32121,                0.17018,                 1.7201,                 1.6047,                 1.9995,             0.00081596,             0.00081596,             0.00081596
                     67,                 1.7182,                   1.67,                 1.8541,                0.72816,                0.30011,                0.31623,                0.15839,                 1.8098,                 1.6669,                 2.0523,             0.00080653,             0.00080653,             0.00080653
                     68,                 1.7676,                 1.6925,                 1.8908,                0.78729,                  0.318,                0.37847,                0.19264,                 1.6803,                 1.5593,                 1.9903,              0.0007971,              0.0007971,              0.0007971
                     69,                 1.8117,                 1.7856,                 1.8906,                0.78324,                0.30892,                0.35571,                0.18487,                 1.6974,                 1.5685,                 1.9944,             0.00078766,             0.00078766,             0.00078766
                     70,                 1.7614,                 1.7484,                 1.8933,                0.73138,                0.38002,                0.36318,                0.17588,                 1.7078,                  1.634,                 2.0109,             0.00077823,             0.00077823,             0.00077823
                     71,                 1.7427,                 1.7124,                 1.8571,                0.71126,                0.28604,                0.66779,                0.25416,                 1.6622,                 1.6131,                 1.9455,              0.0007688,              0.0007688,              0.0007688
                     72,                 1.7321,                 1.6497,                    1.9,                0.84559,                0.26403,                0.36596,                 0.1665,                 1.7086,                 1.7623,                 1.9809,             0.00075937,             0.00075937,             0.00075937
                     73,                 1.7483,                 1.7047,                 1.8817,                0.81604,                0.27189,                0.37815,                0.20071,                 1.7172,                 1.5811,                 1.9991,             0.00074994,             0.00074994,             0.00074994
                     74,                 1.7277,                  1.714,                 1.8786,                 0.6954,                0.36183,                 0.4076,                0.21167,                 1.7556,                 1.5594,                 2.0332,             0.00074051,             0.00074051,             0.00074051
                     75,                 1.7849,                 1.7727,                 1.9285,                0.84733,                0.31388,                0.38911,                0.19761,                 1.6495,                 1.6089,                 1.9571,             0.00073108,             0.00073108,             0.00073108
                     76,                 1.6856,                 1.6513,                 1.8371,                0.76991,                0.32749,                0.39219,                0.21949,                 1.6359,                 1.4593,                 1.9306,             0.00072164,             0.00072164,             0.00072164
                     77,                 1.6689,                 1.6214,                 1.8078,                0.91699,                0.26255,                0.51183,                0.19686,                 1.7387,                  1.651,                 2.0047,             0.00071221,             0.00071221,             0.00071221
                     78,                 1.6635,                 1.6383,                 1.8184,                0.80843,                0.36939,                0.41205,                0.20912,                 1.6436,                 1.6284,                 1.9492,             0.00070278,             0.00070278,             0.00070278
                     79,                 1.6689,                 1.5932,                 1.8245,                0.75302,                0.31794,                0.36828,                0.19795,                 1.6976,                 1.5731,                 1.9849,             0.00069335,             0.00069335,             0.00069335
                     80,                 1.6614,                 1.5527,                 1.8126,                0.70324,                0.35934,                0.36166,                0.19712,                 1.6467,                 1.5127,                 1.9466,             0.00068392,             0.00068392,             0.00068392
                     81,                 1.6783,                 1.6081,                  1.846,                0.80998,                 0.2991,                0.37773,                0.21349,                 1.6208,                 1.4709,                 1.9461,             0.00067449,             0.00067449,             0.00067449
                     82,                 1.6864,                 1.6153,                  1.813,                0.82584,                0.33271,                0.46018,                0.21616,                 1.6441,                  1.485,                 1.9555,             0.00066506,             0.00066506,             0.00066506
                     83,                 1.6675,                 1.5852,                 1.8234,                0.83328,                0.30177,                0.44156,                0.20836,                  1.638,                 1.4452,                  1.942,             0.00065563,             0.00065563,             0.00065563
                     84,                 1.6327,                 1.5606,                 1.7815,                0.74067,                0.31326,                0.45601,                0.20963,                 1.6552,                  1.472,                 1.9464,             0.00064619,             0.00064619,             0.00064619
                     85,                 1.6732,                 1.5727,                 1.8179,                0.79979,                0.29602,                0.41311,                0.20542,                 1.7146,                 1.4807,                 2.0026,             0.00063676,             0.00063676,             0.00063676
                     86,                 1.6339,                 1.5385,                 1.7675,                0.78306,                0.32112,                 0.5307,                0.22211,                 1.6552,                 1.4964,                 1.9629,             0.00062733,             0.00062733,             0.00062733
                     87,                 1.6035,                 1.5109,                 1.7848,                0.76192,                 0.3521,                0.71858,                0.29253,                 1.5806,                 1.4631,                 1.9228,              0.0006179,              0.0006179,              0.0006179
                     88,                 1.6041,                 1.4842,                 1.7794,                  0.892,                0.36768,                0.44048,                0.22096,                 1.6226,                 1.4638,                  1.927,             0.00060847,             0.00060847,             0.00060847
                     89,                 1.6095,                 1.5183,                 1.7909,                0.82636,                0.37185,                0.53758,                0.25407,                 1.6452,                 1.4096,                 1.9281,             0.00059904,             0.00059904,             0.00059904
                     90,                 1.6451,                 1.4954,                 1.8072,                0.82543,                0.33732,                0.53881,                0.23509,                 1.6439,                 1.5003,                 1.9812,             0.00058961,             0.00058961,             0.00058961
                     91,                 1.5808,                 1.5019,                 1.7626,                0.77847,                 0.3553,                0.41016,                0.22715,                 1.6319,                 1.4218,                 1.9337,             0.00058017,             0.00058017,             0.00058017
                     92,                 1.5549,                 1.4363,                 1.7305,                0.80669,                0.37476,                0.45583,                 0.2326,                  1.585,                 1.4479,                 1.8872,             0.00057074,             0.00057074,             0.00057074
                     93,                 1.5814,                 1.4789,                 1.7685,                0.78623,                0.41551,                0.51789,                 0.2408,                  1.596,                 1.4158,                 1.9067,             0.00056131,             0.00056131,             0.00056131
                     94,                   1.52,                 1.3712,                  1.672,                0.73014,                0.35619,                0.44554,                0.22304,                 1.6025,                 1.4468,                 1.9271,             0.00055188,             0.00055188,             0.00055188
                     95,                 1.5427,                 1.4284,                 1.7097,                 0.8115,                0.40172,                 0.4455,                 0.2303,                 1.6342,                 1.4245,                 1.9392,             0.00054245,             0.00054245,             0.00054245
                     96,                 1.5496,                 1.4297,                 1.7148,                0.91237,                0.35056,                0.76644,                0.28246,                 1.6068,                 1.4351,                 1.9276,             0.00053302,             0.00053302,             0.00053302
                     97,                 1.5609,                 1.4246,                 1.7338,                0.84587,                0.42875,                0.54995,                0.27465,                 1.6035,                 1.3986,                  1.946,             0.00052359,             0.00052359,             0.00052359
                     98,                 1.5833,                 1.4289,                 1.7579,                0.78439,                0.44098,                0.54634,                0.26213,                 1.5887,                 1.3151,                 1.9056,             0.00051415,             0.00051415,             0.00051415
                     99,                 1.5339,                 1.3849,                 1.7123,                0.87219,                0.40905,                0.51504,                0.23722,                 1.6165,                 1.3211,                 1.9059,             0.00050472,             0.00050472,             0.00050472
                    100,                  1.599,                 1.4592,                 1.7543,                0.88963,                0.33956,                 0.5272,                0.25171,                 1.5781,                 1.3676,                 1.9012,             0.00049529,             0.00049529,             0.00049529
                    101,                 1.5341,                 1.4051,                 1.7201,                0.83273,                0.34399,                0.73202,                0.30069,                 1.5489,                 1.3306,                 1.8791,             0.00048586,             0.00048586,             0.00048586
                    102,                 1.5291,                 1.4161,                 1.7139,                0.88938,                0.42454,                0.79809,                0.28009,                 1.5811,                 1.3563,                  1.886,             0.00047643,             0.00047643,             0.00047643
                    103,                 1.5343,                  1.385,                 1.7011,                0.90637,                0.40276,                0.50895,                0.24881,                 1.5677,                 1.3672,                 1.9104,               0.000467,               0.000467,               0.000467
                    104,                 1.4917,                 1.3956,                 1.6721,                0.80363,                0.42477,                 0.5823,                 0.2815,                 1.5513,                 1.3582,                 1.8924,             0.00045757,             0.00045757,             0.00045757
                    105,                 1.4777,                 1.3422,                 1.6579,                0.91158,                0.38861,                0.78677,                0.30637,                 1.5832,                 1.3886,                 1.9117,             0.00044813,             0.00044813,             0.00044813
                    106,                 1.5032,                 1.3676,                 1.6936,                0.91607,                0.36777,                0.77527,                0.28127,                 1.5735,                 1.3623,                 1.8836,              0.0004387,              0.0004387,              0.0004387
                    107,                 1.5189,                 1.3594,                 1.6769,                0.81025,                0.40276,                0.47158,                0.24581,                 1.5541,                 1.3285,                 1.8711,             0.00042927,             0.00042927,             0.00042927
                    108,                 1.5096,                 1.3587,                 1.6799,                0.81903,                0.34208,                0.47106,                0.26382,                 1.5805,                 1.3581,                 1.8809,             0.00041984,             0.00041984,             0.00041984
                    109,                 1.5026,                 1.3766,                  1.666,                0.86286,                0.40298,                0.46198,                0.25512,                 1.5824,                 1.3514,                   1.89,             0.00041041,             0.00041041,             0.00041041
                    110,                 1.5188,                 1.3487,                 1.7033,                0.91421,                 0.3724,                0.47269,                0.25945,                 1.5652,                 1.3751,                 1.8592,             0.00040098,             0.00040098,             0.00040098
                    111,                 1.4449,                 1.2633,                 1.6376,                 0.9011,                0.38498,                0.46655,                0.26056,                 1.5418,                 1.3195,                 1.8615,             0.00039155,             0.00039155,             0.00039155
                    112,                 1.4756,                 1.3195,                 1.6719,                0.87727,                0.33692,                0.46449,                0.25534,                 1.5722,                 1.3365,                 1.8948,             0.00038211,             0.00038211,             0.00038211
                    113,                 1.4589,                 1.2454,                 1.6315,                0.95592,                0.33418,                0.45235,                0.24967,                 1.5266,                  1.352,                 1.8718,             0.00037268,             0.00037268,             0.00037268
                    114,                 1.5175,                  1.369,                 1.6784,                0.87327,                0.36248,                0.44556,                0.24723,                  1.523,                 1.2916,                 1.8587,             0.00036325,             0.00036325,             0.00036325
                    115,                 1.4087,                 1.3014,                 1.6323,                0.81764,                0.41062,                0.48076,                0.26303,                 1.5418,                 1.2732,                 1.8624,             0.00035382,             0.00035382,             0.00035382
                    116,                 1.4405,                 1.2749,                 1.6287,                0.80315,                0.40079,                0.52458,                0.28406,                 1.5176,                 1.3114,                 1.8491,             0.00034439,             0.00034439,             0.00034439
                    117,                 1.4191,                  1.235,                 1.6029,                 0.8108,                0.44412,                0.55706,                0.28391,                 1.5558,                 1.2641,                  1.903,             0.00033496,             0.00033496,             0.00033496
                    118,                 1.4766,                 1.2774,                 1.6624,                0.78363,                0.41062,                0.46933,                0.24074,                  1.559,                 1.3446,                 1.9034,             0.00032553,             0.00032553,             0.00032553
                    119,                 1.4548,                 1.2705,                 1.6312,                0.80294,                0.37186,                0.49958,                0.27342,                 1.5449,                 1.3132,                 1.8744,             0.00031609,             0.00031609,             0.00031609
                    120,                 1.4288,                 1.2436,                 1.6303,                0.83748,                0.40103,                0.49959,                0.27169,                 1.5608,                 1.3346,                 1.8927,             0.00030666,             0.00030666,             0.00030666
                    121,                 1.4246,                 1.2358,                 1.6229,                0.85437,                0.35526,                0.50815,                0.28115,                 1.5139,                 1.2632,                 1.8521,             0.00029723,             0.00029723,             0.00029723
                    122,                 1.4078,                 1.2314,                 1.5953,                0.81897,                0.41945,                0.50007,                0.26184,                 1.5452,                 1.3401,                 1.8552,              0.0002878,              0.0002878,              0.0002878
                    123,                  1.438,                 1.2955,                 1.6838,                0.52777,                0.81519,                0.78608,                0.36922,                 1.4979,                 1.2483,                 1.8424,             0.00027837,             0.00027837,             0.00027837
                    124,                 1.4107,                 1.2309,                 1.6374,                0.88057,                0.44098,                0.51763,                0.27147,                 1.5106,                 1.2218,                  1.855,             0.00026894,             0.00026894,             0.00026894
                    125,                 1.4435,                 1.2699,                 1.6442,                  0.767,                0.42634,                0.54601,                0.27386,                 1.5195,                 1.2541,                 1.8359,             0.00025951,             0.00025951,             0.00025951
                    126,                 1.4075,                 1.2153,                 1.6213,                0.89931,                0.43783,                0.48643,                0.25762,                  1.492,                  1.203,                 1.8361,             0.00025007,             0.00025007,             0.00025007
                    127,                 1.3911,                 1.2185,                 1.5993,                0.91914,                0.36995,                0.47582,                0.26069,                 1.5094,                 1.2709,                 1.8458,             0.00024064,             0.00024064,             0.00024064
                    128,                 1.3873,                 1.2137,                 1.6058,                0.81338,                0.45513,                0.47876,                0.25846,                  1.507,                 1.2499,                 1.8496,             0.00023121,             0.00023121,             0.00023121
                    129,                 1.3913,                  1.224,                 1.6047,                0.83589,                 0.4339,                0.47537,                0.26468,                 1.5049,                 1.2647,                 1.8628,             0.00022178,             0.00022178,             0.00022178
                    130,                 1.4004,                  1.204,                 1.6091,                0.86125,                0.40989,                0.47318,                 0.2668,                 1.5081,                 1.2692,                 1.8365,             0.00021235,             0.00021235,             0.00021235
                    131,                 1.4041,                 1.2163,                 1.5956,                0.90204,                0.39961,                0.61143,                0.28469,                 1.4842,                 1.2595,                 1.8376,             0.00020292,             0.00020292,             0.00020292
                    132,                 1.3673,                 1.2088,                 1.5876,                0.77665,                 0.4386,                0.47427,                0.27564,                 1.4986,                 1.2383,                 1.8562,             0.00019349,             0.00019349,             0.00019349
                    133,                 1.3789,                 1.1899,                 1.5868,                0.85646,                0.42134,                0.48475,                0.26117,                 1.5199,                 1.2232,                 1.8425,             0.00018406,             0.00018406,             0.00018406
                    134,                 1.3117,                 1.0978,                 1.5193,                 0.9223,                0.36811,                0.62059,                0.30152,                 1.5142,                 1.2731,                 1.8435,             0.00017462,             0.00017462,             0.00017462
                    135,                 1.3615,                 1.2084,                 1.5872,                0.89995,                 0.3711,                0.47872,                0.27678,                 1.5142,                 1.1958,                 1.8338,             0.00016519,             0.00016519,             0.00016519
                    136,                 1.3876,                 1.1936,                 1.5824,                 0.8889,                0.38026,                0.47615,                0.26923,                 1.4872,                 1.2078,                 1.8242,             0.00015576,             0.00015576,             0.00015576
                    137,                 1.3383,                 1.1382,                 1.5744,                0.79578,                 0.4232,                0.46113,                0.26794,                 1.4978,                 1.2041,                 1.8291,             0.00014633,             0.00014633,             0.00014633
                    138,                 1.3648,                  1.163,                 1.5802,                0.90505,                 0.3743,                0.56609,                0.27841,                 1.4868,                 1.2278,                 1.8101,              0.0001369,              0.0001369,              0.0001369
                    139,                 1.3516,                 1.1683,                   1.59,                0.90424,                0.38144,                0.47943,                0.27891,                 1.4889,                 1.2068,                 1.8091,             0.00012747,             0.00012747,             0.00012747
                    140,                 1.3458,                 1.1627,                  1.564,                0.90564,                0.36925,                 0.4822,                0.28373,                 1.4936,                 1.2094,                 1.8193,             0.00011804,             0.00011804,             0.00011804
                    141,                 1.2255,                0.96821,                 1.5632,                0.90508,                0.41019,                0.49484,                0.28823,                 1.4935,                 1.2233,                 1.8299,              0.0001086,              0.0001086,              0.0001086
                    142,                 1.1927,                0.92808,                 1.5338,                 0.8606,                0.42005,                0.51382,                0.30257,                  1.497,                 1.2092,                 1.8366,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    143,                 1.1826,                0.93028,                  1.542,                0.89069,                0.44884,                0.51826,                0.30059,                  1.487,                 1.2117,                  1.831,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    144,                 1.1622,                0.92493,                 1.5416,                 0.9061,                0.44187,                0.52522,                0.29522,                 1.4921,                 1.2065,                 1.8305,              8.031e-05,              8.031e-05,              8.031e-05
                    145,                   1.19,                0.91352,                 1.5326,                0.90189,                 0.4438,                0.53207,                0.29512,                 1.5032,                  1.201,                 1.8441,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    146,                 1.1847,                0.89353,                 1.5359,                0.88266,                0.44098,                0.52605,                0.29665,                 1.5135,                 1.2127,                 1.8497,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    147,                 1.1444,                0.91636,                 1.5059,                0.84399,                0.45356,                 0.5639,                0.31601,                 1.4803,                  1.187,                 1.8213,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    148,                 1.1728,                0.90426,                 1.5273,                0.83746,                0.46222,                0.59261,                0.31855,                 1.4801,                 1.1943,                 1.8251,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    149,                 1.1844,                0.90834,                 1.5054,                0.87062,                 0.4567,                0.65373,                0.32959,                 1.4864,                 1.1927,                   1.83,             3.3153e-05,             3.3153e-05,             3.3153e-05
                    150,                 1.1483,                0.88509,                 1.5112,                0.84187,                0.46142,                0.64437,                0.33257,                 1.4897,                  1.194,                 1.8317,             2.3721e-05,             2.3721e-05,             2.3721e-05
